opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
354500,0.809,12,0.6402,14139,25131,-4724,1373,-4161,3395
148900,0.8261,12,0.6576,9688,20887,-5456,2173,911,-5978
1203100,0.2459,21,0.4574,7034,20000,19376,-7034,3934,-7938
2159600,1,32,0.7996,6018,20052,-12899,8704,5092,-7823
348600,0.9796,11,0.7663,9956,20500,-12025,7173,605,-6833
168400,0.9412,32,0.7592,7370,21500,-10382,6846,3551,-4624
132100,0.6955,13,0.3465,8835,19884,134,-12135,1882,-8194
159800,0.8847,12,0.7228,8634,19000,-7964,5172,2111,-10146
203100,0.8079,12,0.6774,5433,20250,-4677,3084,5758,-7385
283500,0.5671,13,0.5126,13815,21489.5,5629,-4496,-3791,-4648
364100,0.6667,31,0.5441,8384,27000,1366,-3047,2396,7523
370600,0.6292,12,0.7531,8550,25000,2971,6566,2207,3106
294600,0.6923,12,0.5122,7680,27000,271,-4514,3198,7523
356400,0.7172,32,0.6306,8050,26000,-795,931,2777,5315
301600,0.9167,32,0.8516,8685,27000,-9333,11096,2053,7523
1167800,0.5122,22,0.7868,9924,17500,7979,8116,642,-13459
285900,0.5878,42,0.6833,10657,20000,4743,3355,-193,-7938
170900,0.3364,32,0.4814,3991,12000,15503,-5931,7401,-25607
349500,1,41,0.8905,5568,20199,-12899,12885,5605,-7498
182100,0.4749,11,0.7304,12364,27000,9575,5522,-2138,7523
371500,0.6429,22,0.7126,15806,27000,2385,4703,-6060,7523
290100,0.5143,42,0.6629,8376,27000,7889,2417,2405,7523
179200,0.8853,32,0.6924,18608,25000,-7990,3774,-9252,3106
320600,0.3125,11,0.811,5142,23500,16525,9229,6090,-207
349600,1,13,0.8084,4855,21260,-12899,9109,6417,-5155
143300,0.4516,13,0.4186,6592,31000,10572,-8819,4438,16358
711300,0.1714,11,0.6016,6537,22500,22564,-402,4501,-2416
344000,1,32,0.5892,6619,27000,-12899,-973,4407,7523
357100,0.6884,12,0.7126,10505,25864,437,4703,-20,5014
187900,1,13,0.8275,5590,27000,-12899,9987,5580,7523
188000,1,12,0.8391,8414,23489.5,-12899,10521,2362,-230
141702,1,12,0.4266,6037,21500,-12899,-8451,5070,-4624
263800,0.3517,12,0.1997,8356,25000,14848,-18887,2428,3106
389500,0.8165,12,0.7705,14367,22805,-5045,7366,-4420,-1742
346700,0.7083,33,0.6525,5930,25000,-414,1939,5192,3106
109300,0.3671,13,0.6701,5018,21500,14189,2748,6231,-4624
290500,0.6745,11,0.0442,8997,28500,1032,-26039,1698,10837
