opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
233400,0.6802,1074,1523,-885
324700,0.7146,1074,3318,-885
216500,0.8401,1074,9867,-885
2065300,0.6873,1073,1893,-810
342300,0.7554,1073,5447,-810
271800,0.8221,1073,8928,-810
205000,0.8568,1073,10739,-810
326700,0.7106,1072,3109,-734
277500,0.754,1072,5374,-734
274800,0.6595,1071,442,-658
884900,0.9527,1071,15744,-658
203100,0.558,1070,-4854,-582
250200,0.6185,1070,-1697,-582
170700,0.6191,1070,-1666,-582
230700,0.67,1070,990,-582
100400,0.743,1070,4800,-582
232900,0.7733,1070,6381,-582
233700,0.7768,1070,6564,-582
161000,0.7882,1070,7159,-582
175900,0.8696,1070,11407,-582
360200,0.8997,1070,12978,-582
278200,0.6403,1069,-560,-506
382700,0.8579,1069,10796,-506
347100,0.9201,1068,14042,-431
238000,0.7424,1067,4769,-355
254100,0.7661,1067,6006,-355
367700,0.9783,1067,17080,-355
178600,0.5988,1066,-2725,-279
281700,0.7043,1066,2780,-279
352600,0.7308,1066,4163,-279
3091300,0.7982,1066,7681,-279
395500,0.4167,1065,-12228,-203
353600,0.4842,1065,-8706,-203
187900,0.5682,1065,-4322,-203
175300,0.6915,1065,2112,-203
276900,0.735,1065,4383,-203
254700,0.4462,1064,-10689,-127
166400,0.5056,1064,-7589,-127
251200,0.536,1064,-6003,-127
266800,0.6944,1064,2264,-127
358800,0.7991,1064,7728,-127
197700,0.7996,1064,7754,-127
367800,0.6103,1063,-2125,-52
148200,0.7659,1063,5995,-52
139700,0.8086,1063,8223,-52
236900,0.912,1062,13620,24
177200,1,1062,18212,24
134200,0.6188,1061,-1682,100
109400,0.8892,1061,12430,100
266300,0.4538,1060,-10292,176
254400,0.7935,1060,7435,176
3255300,0.5888,1059,-3247,251
192900,0.6147,1059,-1895,251
280500,0.6875,1059,1904,251
190300,0.6953,1059,2311,251
789300,0.4788,1058,-8988,327
148100,0.6603,1058,484,327
162600,0.6748,1057,1241,403
308300,0.7355,1057,4409,403
379400,0.8882,1057,12378,403
373800,0.4707,1056,-9410,479
370400,0.4782,1056,-9019,479
284100,0.4895,1056,-8429,479
284400,0.5322,1056,-6201,479
168400,0.5568,1056,-4917,479
374200,0.9354,1056,14841,479
157400,0.5944,1055,-2955,555
246300,0.6453,1055,-299,555
450800,0.7299,1055,4116,555
261600,0.7419,1055,4743,555
350200,0.7437,1055,4837,555
175800,0.8153,1055,8573,555
339200,0.9366,1055,14903,555
113900,0.3546,1054,-15469,630
357600,0.3573,1054,-15328,630
106100,0.4207,1054,-12020,630
279100,0.8499,1054,10379,630
332905,0.867,1054,11271,630
1212300,0.9047,1054,13239,630
290100,0.5659,1053,-4442,706
365600,0.614,1053,-1932,706
167800,0.6448,1053,-325,706
369200,0.6574,1053,333,706
345600,0.7118,1053,3172,706
162400,0.6507,1052,-17,782
342100,0.8101,1052,8302,782
246400,0.9061,1052,13312,782
226600,0.6884,1051,1951,858
335900,0.762,1051,5792,858
249600,0.7658,1051,5990,858
295700,0.7845,1051,6966,858
1116300,0.8358,1051,9643,858
104700,0.4414,1050,-10939,933
339900,0.4549,1050,-10235,933
663900,0.4865,1050,-8586,933
2106400,0.5234,1050,-6660,933
639900,0.573,1050,-4072,933
245300,0.6053,1050,-2386,933
239400,0.6304,1050,-1076,933
141705,0.6392,1050,-617,933
224300,0.6927,1050,2175,933
353100,0.7334,1050,4299,933
201300,0.7667,1050,6037,933
174900,0.7764,1050,6543,933
189000,0.7772,1050,6585,933
255400,0.785,1050,6992,933
299200,0.7865,1050,7070,933
392600,0.8179,1050,8709,933
305100,0.8438,1050,10060,933
250100,0.8478,1050,10269,933
389900,0.8735,1050,11610,933
392400,0.8941,1050,12685,933
392300,0.8954,1050,12753,933
391500,0.908,1050,13411,933
312300,0.9571,1050,15973,933
188900,0.9607,1050,16161,933
2090700,1,1050,18212,933
228200,0.5859,1049,-3398,1009
350500,0.7083,1049,2989,1009
221800,0.8391,1049,9815,1009
255100,0.8411,1049,9920,1009
236700,0.8419,1049,9961,1009
109200,0.9426,1049,15216,1009
206500,0.4946,1048,-8163,1085
178500,0.5491,1048,-5319,1085
110100,0.5928,1048,-3038,1085
172200,0.6115,1048,-2062,1085
208600,0.6687,1048,923,1085
398200,0.6699,1048,985,1085
301200,0.7257,1048,3897,1085
384800,0.7622,1048,5802,1085
105700,0.8335,1048,9523,1085
320600,0.5667,1047,-4400,1161
184700,0.6789,1047,1455,1161
119600,0.8092,1047,8255,1161
200200,0.9332,1047,14726,1161
172400,0.6273,1046,-1238,1237
708500,0.7598,1046,5677,1237
927500,0.9072,1046,13369,1237
343100,0.5348,1045,-6065,1312
307200,0.7174,1045,3464,1312
339400,0.7863,1045,7060,1312
348500,0.4642,1044,-9750,1388
321100,0.5984,1044,-2746,1388
346100,0.7343,1044,4346,1388
303900,0.8864,1044,12284,1388
347400,0.8882,1044,12378,1388
297600,0.6073,1043,-2282,1464
329300,0.7222,1043,3715,1464
313500,0.8068,1043,8130,1464
815500,0.989,1043,17638,1464
349600,0.5668,1042,-4395,1540
252500,0.763,1042,5844,1540
161600,0.77,1042,6209,1540
102000,0.8326,1041,9476,1616
162500,0.9962,1041,18014,1616
2053000,0.2232,1040,-22326,1691
